College/School,Derived Residency,Gender,Ucb Level1 Ethnic Rollup Desc,Applicant Headcounts,Academic Yr,('SIRed')
Clg of Chemistry,CA Resident,Decline to State,Asian/Pacific Islander,0,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Decline to State,Underrepresented Minority,0,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Decline to State,Underrepresented Minority,0,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Decline to State,White/Other,,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Decline to State,White/Other,0,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Decline to State,White/Other,0,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Female,Asian/Pacific Islander,10,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Female,Asian/Pacific Islander,8,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Female,Asian/Pacific Islander,10,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Female,Underrepresented Minority,2,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Female,Underrepresented Minority,3,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Female,Underrepresented Minority,7,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Female,White/Other,6,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Female,White/Other,5,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Female,White/Other,6,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Male,Asian/Pacific Islander,8,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Male,Asian/Pacific Islander,16,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Male,Asian/Pacific Islander,11,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Male,Underrepresented Minority,7,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Male,Underrepresented Minority,11,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Male,Underrepresented Minority,7,2017-18,(SIRed)
Clg of Chemistry,CA Resident,Male,White/Other,15,2015-16,(SIRed)
Clg of Chemistry,CA Resident,Male,White/Other,12,2016-17,(SIRed)
Clg of Chemistry,CA Resident,Male,White/Other,14,2017-18,(SIRed)
Clg of Chemistry,International,Decline to State,International,,2015-16,(SIRed)
Clg of Chemistry,International,Decline to State,International,0,2016-17,(SIRed)
Clg of Chemistry,International,Decline to State,International,0,2017-18,(SIRed)
Clg of Chemistry,International,Female,International,11,2015-16,(SIRed)
Clg of Chemistry,International,Female,International,9,2016-17,(SIRed)
Clg of Chemistry,International,Female,International,9,2017-18,(SIRed)
Clg of Chemistry,International,Male,International,14,2015-16,(SIRed)
Clg of Chemistry,International,Male,International,10,2016-17,(SIRed)
Clg of Chemistry,International,Male,International,8,2017-18,(SIRed)
Clg of Chemistry,Out of State Domestic,Decline to State,Asian/Pacific Islander,0,2016-17,(SIRed)
Clg of Chemistry,Out of State Domestic,Decline to State,White/Other,0,2016-17,(SIRed)
Clg of Chemistry,Out of State Domestic,Decline to State,White/Other,0,2017-18,(SIRed)
Clg of Chemistry,Out of State Domestic,Female,Asian/Pacific Islander,,2015-16,(SIRed)
