College/School,Department,Intended Major,Neither Parent has 4 Year College Degree,Applicant Headcounts,Academic Yr,('SIRed')
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,N,8,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,N,0,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,N,2,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,U,,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,U,1,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,Y,4,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,Y,3,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,Y,4,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,N,1,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,N,1,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,N,2,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,U,0,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,U,0,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,Y,3,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,Y,4,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,Y,1,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,N,12,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,N,20,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,N,12,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,U,,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,U,0,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,U,1,2017-18,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Y,9,2015-16,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Y,20,2016-17,(SIRed)
Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Y,9,2017-18,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,N,4,2015-16,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,N,5,2016-17,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,N,10,2017-18,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,U,,2015-16,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,U,1,2016-17,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,U,0,2017-18,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,Y,9,2015-16,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,Y,5,2016-17,(SIRed)
Clg of Chemistry,Chemistry,Chemical Biology,Y,7,2017-18,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,N,16,2015-16,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,N,5,2016-17,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,N,9,2017-18,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,U,2,2015-16,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,U,1,2016-17,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,U,0,2017-18,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,Y,6,2015-16,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,Y,11,2016-17,(SIRed)
Clg of Chemistry,Chemistry,Chemistry,Y,14,2017-18,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,N,3,2015-16,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,N,4,2016-17,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,N,6,2017-18,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,U,,2015-16,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,U,0,2016-17,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,U,0,2017-18,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,Y,3,2015-16,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,Y,3,2016-17,(SIRed)
Clg of Engineering,Bioengineering,Bioengineering,Y,2,2017-18,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,N,9,2015-16,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,N,11,2016-17,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,N,11,2017-18,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,U,,2015-16,(SIRed)
Clg of Engineering,Civil & Environmental Eng,Civil Engineering,U,0,2016-17,(SIRed)
